,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,,,
accurate,0.7333333333,0.8571428571,0.8,0.7142857143,0.75,1,0.6666666667,0.8,0.6666666667,0.8823529412,1,0.9230769231,0.8823529412,0.7,0.8571428571,1,0.8823529412,0.8333333333,0.9285714286,0.9,0.9166666667,0.7,0.7692307692,0.6153846154,0.7692307692,0.75,0.8,0.6666666667,1,1,0.8666666667,0.8666666667,0.7,0.8181818182,0.8461538462,0.7333333333,0.8666666667,0.7647058824,0.6666666667,0.7647058824,0.75,0.8888888889,0.8461538462,0.8333333333,0.9166666667,0.6666666667,0.9166666667,0.8333333333,0.8181818182,0.9411764706,0.8666666667,0.9,0.6923076923,0.8888888889,0.7142857143,0.7857142857,0.8,0.7,0.8181818182,0.7647058824,0.8181818182,0.7777777778,0.7894736842,0.8571428571,0.8461538462,0.7272727273,0.8,0.8333333333,0.8333333333,0.8571428571,0.6428571429,0.8571428571,0.6363636364,0.8461538462,1,0.6923076923,0.8666666667,0.7857142857,0.8461538462,0.7272727273,0.8235294118,0.75,0.75,0.7222222222,0.875,1,0.8888888889,0.7777777778,0.8888888889,0.7272727273,0.9,0.9,0.9090909091,0.9333333333,0.7777777778,0.8333333333,0.875,0.7142857143,0.9333333333,0.8235294118,0.7777777778,1,0.8571428571,0.7692307692,0.7333333333,0.7272727273,0.6666666667,0.9,0.7333333333,0.8333333333,0.8461538462,0.9090909091,0.9375,1,0.8888888889,0.8,0.7333333333,0.8461538462,0.6666666667,0.8461538462,0.875,1,0.875,0.8181818182,0.8333333333,0.8421052632,0.9090909091,0.8571428571,0.75,0.8571428571,1,0.9090909091,0.7272727273,0.8181818182,0.75,0.8,0.8181818182,0.9166666667,0.7777777778,0.6666666667,0.7727272727,0.9230769231,0.6956521739,0.9230769231,0.7368421053,0.8461538462,0.8571428571,1,0.7777777778,1,0.75,0.7857142857,0.625,0.8636363636,0.8125,0.8125,0.6666666667,0.625,0.8461538462,0.7272727273,0.875,0.875,0.875,0.8571428571,1,1,0.875,0.875,1,1,0.75,0.9333333333,0.8888888889,0.9333333333,1,1,1,1,0.8823529412,0.9230769231,0.9444444444,1,0.75,0.8461538462,1,0.9375,1,1,1,0.6923076923,0.8571428571,1,0.8,0.75,1,0.8181818182,0.875,0.9,0.6428571429,1,0.9090909091,0.8888888889,0.9047619048,0.8571428571,0.7,0.8571428571,0.8,0.8888888889,0.6666666667,1,0.9090909091,0.8333333333,0.75,0.8823529412,0.8571428571,0.8888888889,0.6666666667,0.8666666667,0.7142857143,0.8823529412,0.8,0.9333333333,0.8666666667,0.9444444444,0.9090909091,0.8571428571,0.9,0.7857142857,0.8235294118,0.7777777778,0.8,1,0.625,0.8571428571,0.7777777778,0.8666666667,0.8461538462,0.8571428571,0.7333333333,0.7272727273,0.8888888889,0.8666666667,0.8333333333,0.9285714286,0.9090909091,0.8888888889,0.8666666667,1,0.6875,0.875,0.6666666667,0.8888888889,0.8888888889,0.75,0.7692307692,0.7272727273,0.7619047619,1,0.8333333333,0.8125,0.8666666667,0.9285714286,0.5263157895,0.8461538462,0.8461538462,0.8235294118,0.7272727273,0.8461538462,0.7857142857,0.8947368421,0.8181818182,0.8333333333,1,0.7894736842,0.7692307692,0.6666666667,1,0.9411764706,0.8666666667,1,0.8695652174,0.6086956522,0.875,0.875,0.9,0.9333333333,0.8571428571,0.6428571429,0.9,0.8,0.8125,0.8461538462,1,1,0.8571428571,0.6875,0.9166666667,0.6875,0.9166666667,0.7857142857,0.8,0.7692307692,0.8888888889,0.8181818182,1,0.8181818182,0.875,0.9333333333,0.9285714286,0.8181818182,0.9166666667,0.7333333333,0.8235294118,0.9375,0.8888888889,0.75,0.8666666667,0.8461538462,0.9333333333,0.7272727273,0.8181818182,1,0.8181818182,0.8333333333,0.8888888889,0.9375,0.8333333333,0.9230769231,0.8,0.7857142857,0.7857142857,0.8571428571,0.8888888889,0.9375,0.6666666667,0.6666666667,0.8461538462,0.8571428571,0.7,0.9090909091,0.9166666667,0.8181818182,0.75,0.7857142857,0.8333333333,0.7272727273,0.9,0.8461538462,1,0.7692307692,0.8888888889,1,0.8333333333,0.9,0.8333333333,0.8666666667,0.9090909091,0.6875,1,0.9166666667,1,0.8333333333,0.6666666667,0.8181818182,0.5555555556,0.7272727273,0.6666666667,0.5555555556,0.7692307692,0.75,0.7,0.6666666667,0.7826086957,0.8,0.9,0.875,0.75,0.8,0.8461538462,0.75,0.7692307692,0.6666666667,0.5714285714,0.8461538462,0.6428571429,0.7,1,0.8,1,0.8461538462,0.8461538462,0.7142857143,0.9090909091,0.9090909091,0.9230769231,1,1,1,0.7777777778,1,0.875,0.8,0.5263157895,1,0.836170343
recall,1,0.9285714286,0.8,0.5454545455,0.5833333333,0.6315789474,0.6666666667,0.9230769231,0.6875,0.9411764706,0.8421052632,0.8571428571,0.85,0.5,0.8,0.7692307692,0.8823529412,0.5555555556,0.9411764706,0.7692307692,0.6111111111,0.9090909091,0.7857142857,0.9230769231,0.9090909091,1,0.8,0.7142857143,0.8571428571,1,0.75,0.8125,1,0.6470588235,1,0.9230769231,0.6666666667,1,0.4615384615,0.9285714286,0.6666666667,0.9090909091,0.9166666667,0.9090909091,0.9285714286,0.5,0.9285714286,0.9090909091,0.8333333333,1,0.7272727273,0.6428571429,0.6923076923,0.9166666667,0.8333333333,0.7333333333,0.8421052632,0.6666666667,0.9473684211,0.7222222222,0.4285714286,0.8333333333,0.9444444444,0.8571428571,0.8666666667,0.6666666667,1,1,0.9166666667,1,1,0.9230769231,0.5384615385,0.9166666667,0.9090909091,1,1,0.8,0.6875,0.7142857143,0.85,1,0.8181818182,0.8125,0.7894736842,0.7333333333,0.6923076923,1,0.75,0.8333333333,0.7142857143,0.75,0.9166666667,0.9411764706,0.875,0.9375,0.8888888889,1,1,0.7368421053,0.875,0.2857142857,0.75,0.6666666667,0.7857142857,0.8,0.5,0.8333333333,1,0.8333333333,0.9333333333,0.7692307692,0.9375,0.7142857143,0.7692307692,0.8461538462,0.7333333333,0.8571428571,0.8,1,0.8888888889,0.8421052632,1,0.9090909091,0.6666666667,0.8888888889,0.5,1,0.9375,0.8571428571,1,0.9090909091,0.75,0.75,0.8461538462,0.75,0.75,0.9230769231,0.6153846154,0.75,0.9,1,1,1,0.8421052632,0.6470588235,0.8666666667,0.5,0.7727272727,0.7,0.6666666667,0.9285714286,0.6666666667,0.8076923077,0.85,0.8235294118,0.6153846154,0.5,0.8571428571,1,0.8846153846,0.6363636364,0.875,0.875,0.4615384615,0.9,0.5625,0.8421052632,0.6071428571,0.9333333333,0.875,0.8181818182,0.8,0.9375,0.8571428571,0.7333333333,0.55,0.6,1,0.619047619,0.85,0.55,0.7857142857,0.7647058824,0.8421052632,0.9444444444,0.7333333333,0.9333333333,0.7391304348,0.8181818182,0.8571428571,1,0.5,0.6923076923,0.7058823529,0.5294117647,0.6666666667,0.7333333333,0.8461538462,0.4736842105,0.8666666667,0.7619047619,0.8333333333,0.7368421053,0.9375,0.8947368421,0.8181818182,0.7142857143,0.8,0.8888888889,0.75,0.6470588235,0.7142857143,0.95,0.7142857143,0.8947368421,0.8571428571,0.9333333333,1,0.75,0.5454545455,0.875,0.7272727273,0.9523809524,0.6470588235,0.7894736842,0.8461538462,0.9375,1,0.5384615385,0.7692307692,0.6666666667,0.6363636364,0.8421052632,0.75,0.7,0.7058823529,0.7,0.8,1,0.6,0.75,0.652173913,0.9411764706,0.75,0.8181818182,0.7272727273,0.8695652174,0.6666666667,0.875,0.8636363636,0.9130434783,0.7692307692,0.7777777778,0.8,0.5333333333,0.8260869565,0.8095238095,0.7692307692,0.8666666667,0.8333333333,0.9411764706,1,0.7857142857,0.8823529412,0.875,0.5882352941,0.8125,1,0.9090909091,0.7857142857,0.6875,0.875,1,0.6666666667,0.6111111111,0.9285714286,0.8888888889,0.875,0.8333333333,0.8333333333,0.8823529412,0.652173913,0.9166666667,0.3913043478,0.56,0.9285714286,0.5238095238,0.9583333333,0.6153846154,1,1,0.8095238095,0.5652173913,0.8,0.75,0.7647058824,0.6842105263,0.8571428571,0.7857142857,0.8823529412,0.7058823529,0.9523809524,0.7142857143,0.4782608696,0.625,0.8,0.9,0.875,0.9090909091,0.5909090909,0.48,0.9090909091,0.9523809524,0.9090909091,0.7857142857,0.7777777778,0.8235294118,0.7619047619,0.8888888889,0.7333333333,0.5,0.7857142857,0.8571428571,1,0.75,0.7857142857,0.8333333333,1,0.9230769231,0.6,0.8666666667,0.6,1,0.875,0.8888888889,0.9285714286,0.5454545455,1,0.9166666667,0.9333333333,0.9166666667,0.9,0.8235294118,0.7142857143,0.7692307692,0.8,0.9375,0.8666666667,0.625,1,0.9166666667,1,0.7692307692,0.7692307692,0.9333333333,0.6470588235,0.8461538462,0.9375,0.8571428571,0.75,0.7692307692,0.5714285714,0.5882352941,0.5555555556,0.7272727273,0.5454545455,0.5555555556,0.8461538462,0.3636363636,0.8,0.4444444444,0.9090909091,0.4,0.8,0.8,0.8181818182,0.6923076923,1,0.5,1,0.7,1,1,0.9090909091,0.9,0.9230769231,0.8333333333,0.5714285714,1,0.8571428571,0.5,1,0.8333333333,1,0.6666666667,0.5454545455,0.75,0.7,0.9,0.7,0.9333333333,0.2857142857,1,0.7990131802
f1,0.8461538462,0.8914285714,0.8,0.618556701,0.65625,0.7741935484,0.6666666667,0.8571428571,0.6769230769,0.9108159393,0.9142857143,0.8888888889,0.8658743633,0.5833333333,0.8275862069,0.8695652174,0.8823529412,0.6666666667,0.9348314607,0.8294930876,0.7333333333,0.790960452,0.777385159,0.7384615385,0.8333333333,0.8571428571,0.8,0.6896551724,0.9230769231,1,0.8041237113,0.8387096774,0.8235294118,0.7226277372,0.9166666667,0.8173374613,0.7536231884,0.8666666667,0.5454545455,0.8387096774,0.7058823529,0.8988764045,0.88,0.8695652174,0.9225806452,0.5714285714,0.9225806452,0.8695652174,0.8256880734,0.9696969697,0.7908745247,0.75,0.6923076923,0.9025641026,0.7692307692,0.7586206897,0.8205128205,0.6829268293,0.8780487805,0.7428571429,0.5625,0.8045977011,0.8600337268,0.8571428571,0.8562874252,0.6956521739,0.8888888889,0.9090909091,0.873015873,0.9230769231,0.7826086957,0.8888888889,0.5833333333,0.88,0.9523809524,0.8181818182,0.9285714286,0.7927927928,0.7586206897,0.7207207207,0.8365553603,0.8571428571,0.7826086957,0.7647058824,0.8300395257,0.8461538462,0.7783783784,0.875,0.813559322,0.7766990291,0.796460177,0.8181818182,0.9128630705,0.9372384937,0.8235294118,0.8823529412,0.8818897638,0.8333333333,0.9655172414,0.7777777778,0.8235294118,0.4444444444,0.8,0.7142857143,0.7586206897,0.7619047619,0.5714285714,0.8653846154,0.8461538462,0.8333333333,0.8876080692,0.8333333333,0.9375,0.8333333333,0.824742268,0.8224299065,0.7333333333,0.8516129032,0.7272727273,0.9166666667,0.8818897638,0.9142857143,0.9333333333,0.8612440191,0.7407407407,0.8648648649,0.6451612903,0.9230769231,0.8333333333,0.8571428571,1,0.9090909091,0.7384615385,0.7826086957,0.7951807229,0.7741935484,0.7826086957,0.9198606272,0.6871165644,0.7058823529,0.8315217391,0.96,0.8205128205,0.96,0.7859649123,0.7333333333,0.861878453,0.6666666667,0.7752442997,0.8235294118,0.7058823529,0.8511904762,0.6451612903,0.8347280335,0.8308270677,0.8179775281,0.64,0.5555555556,0.8516129032,0.8421052632,0.8797814208,0.7368421053,0.875,0.8659793814,0.6315789474,0.9473684211,0.6847826087,0.8582375479,0.7555555556,0.9655172414,0.8076923077,0.8719723183,0.8421052632,0.9354120267,0.9230769231,0.8461538462,0.7096774194,0.75,0.9375,0.7410926366,0.8947368421,0.7096774194,0.7674418605,0.8033707865,0.9142857143,0.9409594096,0.8461538462,0.9655172414,0.85,0.75,0.8571428571,1,0.6153846154,0.72,0.8275862069,0.6428571429,0.7567567568,0.8081632653,0.7306273063,0.6428571429,0.8873720137,0.8205128205,0.8675799087,0.7924528302,0.8015267176,0.8755364807,0.808988764,0.7920792079,0.7272727273,0.9411764706,0.8219178082,0.7284768212,0.7317073171,0.9149277689,0.7792207792,0.8918032787,0.75,0.8987654321,0.8333333333,0.8108108108,0.6486486486,0.9032258065,0.7908745247,0.9483960948,0.7560137457,0.8219178082,0.872246696,0.8549222798,0.9032258065,0.6363636364,0.7843137255,0.8,0.6306306306,0.8495575221,0.7636363636,0.7744680851,0.7696793003,0.7706422018,0.7652173913,0.8421052632,0.7164179104,0.8041237113,0.7317073171,0.9348314607,0.8219178082,0.8520710059,0.7908745247,0.9302325581,0.6769230769,0.875,0.7524752475,0.9008042895,0.824742268,0.7636363636,0.7843137255,0.6153846154,0.7926988266,0.8947368421,0.8,0.8387096774,0.8496732026,0.9348314607,0.6896551724,0.8148148148,0.8638743456,0.8484848485,0.6504065041,0.8289855072,0.88,0.9018567639,0.8016194332,0.7534246575,0.9333333333,0.8823529412,0.7142857143,0.6376811594,0.962962963,0.9142857143,0.8708133971,0.9090909091,0.8510638298,0.7204116638,0.7473309609,0.8953488372,0.5454545455,0.7,0.8914285714,0.5772594752,0.9282511211,0.6956521739,0.8965517241,0.9166666667,0.8947368421,0.7222222222,0.8275862069,0.7173913043,0.833819242,0.6858513189,0.8859060403,0.7857142857,0.8391608392,0.736196319,0.9195402299,0.7627118644,0.6470588235,0.7086614173,0.8358208955,0.9163636364,0.900990099,0.8612440191,0.7185929648,0.5802197802,0.8641975309,0.9448818898,0.8988764045,0.7674418605,0.8198198198,0.8346883469,0.8389513109,0.8,0.7734375,0.6666666667,0.8016194332,0.8450704225,0.9411764706,0.8333333333,0.8088235294,0.8759124088,0.8888888889,0.8488745981,0.6804123711,0.861878453,0.7164179104,0.9677419355,0.7567567568,0.7619047619,0.8854489164,0.6666666667,0.8235294118,0.9128630705,0.9249249249,0.864628821,0.8181818182,0.8041775457,0.7692307692,0.7476635514,0.8470588235,0.8894878706,0.9285714286,0.6896551724,0.9411764706,0.9565217391,0.9090909091,0.8294930876,0.8,0.8987654321,0.7560137457,0.7586206897,0.9677419355,0.8859060403,0.8571428571,0.8,0.6153846154,0.6844106464,0.5555555556,0.7272727273,0.6,0.5555555556,0.8058608059,0.4897959184,0.7466666667,0.5333333333,0.8411214953,0.5333333333,0.8470588235,0.8358208955,0.7826086957,0.7422680412,0.9166666667,0.6,0.8695652174,0.6829268293,0.7272727273,0.9166666667,0.7531380753,0.7875,0.96,0.8163265306,0.7272727273,0.9166666667,0.8516129032,0.5882352941,0.9523809524,0.8695652174,0.96,0.8,0.7058823529,0.8571428571,0.7368421053,0.9473684211,0.7777777778,0.8615384615,0.4444444444,1,0.8074155133
